1	 사업장 	 항목 	 공장그룹 	 일련번호 	 형식 	 관제점(채운용) 	 단위 	 표시 	 TAG 명 			 Primary Key 	 PID No 	 Line Size 	 Fluid Code 	Serial Number	 Matarial Spec 	 Insulation 	 관제점 설명 		 관제점 명칭 	 주기 	 Log 	 Event 	1
32	 우진도금 	 스팀 	 F02 	 0008 					 FT 	2208	설비	F020008-FT2208	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 우진도금 	 스팀		 aaa 			32
33	 우진도금 	 스팀 	 F02 	 0008 					 FI 	2208	관제점	F020008-FI2208	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 우진도금 	 스팀		 aaa 			33
34	 신광하이테크 	 압공 	 F02 	 0009 					 FT 	2109	설비	F020009-FT2109	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 신광하이테크 	 압공		 aaa 			34
35	 신광하이테크 	 압공 	 F02 	 0009 					 FI 	2109	관제점	F020009-FI2109	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 신광하이테크 	 압공		 aaa 			35
36	 신광하이테크 	 스팀 	 F02 	 0009 					 FT 	2209	설비	F020009-FT2209	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 신광하이테크 	 스팀		 aaa 			36
37	 신광하이테크 	 스팀 	 F02 	 0009 					 FI 	2209	관제점	F020009-FI2209	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 신광하이테크 	 스팀		 aaa 			37
38	 기양금속 	 압공 	 F02 	 0010 					 FT 	2110	설비	F020010-FT2110	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 기양금속 	 압공		 aaa 			38
39	 기양금속 	 압공 	 F02 	 0010 					 FI 	2110	관제점	F020010-FI2110	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 기양금속 	 압공		 aaa 			39
40	 기양금속 	 스팀 	 F02 	 0010 					 FT 	2210	설비	F020010-FT2210	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 기양금속 	 스팀		 aaa 			40
41	 기양금속 	 스팀 	 F02 	 0010 					 FI 	2210	관제점	F020010-FI2210	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 기양금속 	 스팀		 aaa 			41
42	 메인텍2 	 압공 	 F02 	 0011 					 FT 	2111	설비	F020011-FT2111	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 메인텍2 	 압공		 aaa 			42
43	 메인텍2 	 압공 	 F02 	 0011 					 FI 	2111	관제점	F020011-FI2111	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 메인텍2 	 압공		 aaa 			43
44	 메인텍2 	 스팀 	 F02 	 0011 					 FT 	2211	설비	F020011-FT2211	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 메인텍2 	 스팀		 aaa 			44
45	 메인텍2 	 스팀 	 F02 	 0011 					 FI 	2211	관제점	F020011-FI2211	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 메인텍2 	 스팀		 aaa 			45
46	 금호 	 압공 	 F02 	 0012 					 FT 	2112	설비	F020012-FT2112	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 금호 	 압공		 aaa 			46
47	 금호 	 압공 	 F02 	 0012 					 FI 	2112	관제점	F020012-FI2112	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 금호 	 압공		 aaa 			47
48	 금호 	 스팀 	 F02 	 0012 					 FT 	2212	설비	F020012-FT2212	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 금호 	 스팀		 aaa 			48
49	 금호 	 스팀 	 F02 	 0012 					 FI 	2212	관제점	F020012-FI2212	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 금호 	 스팀		 aaa 			49
50	 영일도금 	 압공 	 F02 	 0013 					 FT 	2113	설비	F020013-FT2113	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 영일도금 	 압공		 aaa 			50
51	 영일도금 	 압공 	 F02 	 0013 					 FI 	2113	관제점	F020013-FI2113	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 영일도금 	 스팀		 aaa 			51
52	 영일도금 	 스팀 	 F02 	 0013 					 FT 	2213	설비	F020013-FT2213	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 영일도금 	 스팀		 aaa 			52
53	 영일도금 	 스팀 	 F02 	 0013 					 FI 	2213	관제점	F020013-FI2213	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 영일도금 	 스팀		 aaa 			53
54	 대진알미늄 	 압공 	 F02 	 0014 					 FT 	2114	설비	F020014-FT2114	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 대진알미늄 	 압공		 aaa 			54
55	 대진알미늄 	 압공 	 F02 	 0014 					 FI 	2114	관제점	F020014-FI2114	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 대진알미늄 	 스팀		 aaa 			55
56	 대진알미늄 	 스팀 	 F02 	 0014 					 FT 	2214	설비	F020014-FT2214	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 대진알미늄 	 스팀		 aaa 			56
57	 대진알미늄 	 스팀 	 F02 	 0014 					 FI 	2214	관제점	F020014-FI2214	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 대진알미늄 	 스팀		 aaa 			57
58	 공용설비 	 스팀 	 F02 	 0015 					 FT 	2215	설비	F020015-FT2215	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 공용설비 	 스팀		 aaa 			58
59	 공용설비 	 스팀 	 F02 	 0015 					 FI 	2215	관제점	F020015-FI2215	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 공용설비 	 스팀		 aaa 			59
