1	 사업장 	 항목 	 공장그룹 	 일련번호 	 형식 	 관제점(채운용) 	 단위 	 표시 	 TAG 명 			 Primary Key 	 PID No 	 Line Size 	 Fluid Code 	Serial Number	 Matarial Spec 	 Insulation 	 관제점 설명 		 관제점 명칭 	 주기 	 Log 	 Event 	1
34	 와이제이 	 스팀 	 F03 	 0002 					 FI 	3214	관제점	F030002-FI3214	 PID-VUP-306 	 25A 	 S 	3226	 A1 	 H 	와이제이	스팀		 aaa 			34
35	 와이제이 	 스팀 	 F03 	 0002 					 FI 	3214	관제점	F030002-FI3214	 PID-VUP-306 	 25A 	 S 	3226	 A1 	 H 	와이제이	스팀		 aaa 			35
36	 제일실업 	 압공 	 F03 	 0003 					 XV 	3113	관제점	F030003-XV3113	 PID-VUP-308 	 20A 	 AIR 	3146	 A2 	 N 	제일실업	압공		 aaa 			36
37	 제일실업 	 압공 	 F03 	 0003 					 HS 	3113	설비	F030003-HS3113	 PID-VUP-308 	 20A 	 AIR 	3146	 A2 	 N 	제일실업	압공		 aaa 			37
38	 제일실업 	 압공 	 F03 	 0003 					 FI 	3113	관제점	F030003-FI3113	 PID-VUP-308 	 20A 	 AIR 	3146	 A2 	 N 	제일실업	압공		 aaa 			38
39	 제일실업 	 압공 	 F03 	 0003 					 FI 	3113	관제점	F030003-FI3113	 PID-VUP-308 	 20A 	 AIR 	3146	 A2 	 N 	제일실업	압공		 aaa 			39
40	 제일실업 	 압공 	 F03 	 0003 					 FT 	3113	설비	F030003-FT3113	 PID-VUP-308 	 20A 	 AIR 	3146	 A2 	 N 	제일실업	압공		 aaa 			40
41	 제일실업 	 압공 	 F03 	 0003 					 PI 	3113	관제점	F030003-PI3113	 PID-VUP-308 	 20A 	 AIR 	3146	 A2 	 N 	제일실업	압공		 aaa 			41
42	 제일실업 	 압공 	 F03 	 0003 					 PI 	3113	관제점	F030003-PI3113	 PID-VUP-308 	 20A 	 AIR 	3146	 A2 	 N 	제일실업	압공		 aaa 			42
43	 제일실업 	 압공 	 F03 	 0003 					 PT 	3113	설비	F030003-PT3113	 PID-VUP-308 	 20A 	 AIR 	3146	 A2 	 N 	제일실업	압공		 aaa 			43
44	 제일실업 	 스팀 	 F03 	 0003 					 XV 	3213	관제점	F030003-XV3213	 PID-VUP-306 	 25A 	 S 	3225	 A1 	 H 	제일실업	스팀		 aaa 			44
45	 제일실업 	 스팀 	 F03 	 0003 					 HS 	3213	설비	F030003-HS3213	 PID-VUP-306 	 25A 	 S 	3225	 A1 	 H 	제일실업	스팀		 aaa 			45
46	 제일실업 	 스팀 	 F03 	 0003 					 FI 	3213	관제점	F030003-FI3213	 PID-VUP-306 	 25A 	 S 	3225	 A1 	 H 	제일실업	스팀		 aaa 			46
47	 제일실업 	 스팀 	 F03 	 0003 					 FI 	3213	관제점	F030003-FI3213	 PID-VUP-306 	 25A 	 S 	3225	 A1 	 H 	제일실업	스팀		 aaa 			47
48	 제일실업 	 스팀 	 F03 	 0003 					 FT 	3213	설비	F030003-FT3213	 PID-VUP-306 	 25A 	 S 	3225	 A1 	 H 	제일실업	스팀		 aaa 			48
49	 제일실업 	 스팀 	 F03 	 0003 					 PI 	3213	관제점	F030003-PI3213	 PID-VUP-306 	 25A 	 S 	3225	 A1 	 H 	제일실업	스팀		 aaa 			49
50	 제일실업 	 스팀 	 F03 	 0003 					 PI 	3213	관제점	F030003-PI3213	 PID-VUP-306 	 25A 	 S 	3225	 A1 	 H 	제일실업	스팀		 aaa 			50
51	 제일실업 	 스팀 	 F03 	 0003 					 PT 	3213	설비	F030003-PT3213	 PID-VUP-306 	 25A 	 S 	3225	 A1 	 H 	제일실업	스팀		 aaa 			51
52	 금호산업 	 압공 	 F03 	 0004 					 XV 	3115	관제점	F030004-XV3115	 PID-VUP-308 	 25A 	 AIR 	3148	 A2 	 N 	금호산업	압공		 aaa 			52
53	 금호산업 	 압공 	 F03 	 0004 					 HS 	3115	설비	F030004-HS3115	 PID-VUP-308 	 25A 	 AIR 	3148	 A2 	 N 	금호산업	압공		 aaa 			53
54	 금호산업 	 압공 	 F03 	 0004 					 FI 	3115	관제점	F030004-FI3115	 PID-VUP-308 	 25A 	 AIR 	3148	 A2 	 N 	금호산업	압공		 aaa 			54
55	 금호산업 	 압공 	 F03 	 0004 					 FI 	3115	관제점	F030004-FI3115	 PID-VUP-308 	 25A 	 AIR 	3148	 A2 	 N 	금호산업	압공		 aaa 			55
56	 금호산업 	 압공 	 F03 	 0004 					 FT 	3115	설비	F030004-FT3115	 PID-VUP-308 	 25A 	 AIR 	3148	 A2 	 N 	금호산업	압공		 aaa 			56
57	 금호산업 	 압공 	 F03 	 0004 					 PI 	3115	관제점	F030004-PI3115	 PID-VUP-308 	 25A 	 AIR 	3148	 A2 	 N 	금호산업	압공		 aaa 			57
58	 금호산업 	 압공 	 F03 	 0004 					 PI 	3115	관제점	F030004-PI3115	 PID-VUP-308 	 25A 	 AIR 	3148	 A2 	 N 	금호산업	압공		 aaa 			58
59	 금호산업 	 압공 	 F03 	 0004 					 PT 	3115	설비	F030004-PT3115	 PID-VUP-308 	 25A 	 AIR 	3148	 A2 	 N 	금호산업	압공		 aaa 			59
60	 금호산업 	 스팀 	 F03 	 0004 					 XV 	3218	관제점	F030004-XV3218	 PID-VUP-306 	 25A 	 S 	3232	 A1 	 H 	금호산업	스팀		 aaa 			60
61	 금호산업 	 스팀 	 F03 	 0004 					 HS 	3218	설비	F030004-HS3218	 PID-VUP-306 	 25A 	 S 	3232	 A1 	 H 	금호산업	스팀		 aaa 			61
62	 금호산업 	 스팀 	 F03 	 0004 					 FT 	3218	설비	F030004-FT3218	 PID-VUP-306 	 25A 	 S 	3232	 A1 	 H 	금호산업	스팀		 aaa 			62
63	 금호산업 	 스팀 	 F03 	 0004 					 PI 	3218	관제점	F030004-PI3218	 PID-VUP-306 	 25A 	 S 	3232	 A1 	 H 	금호산업	스팀		 aaa 			63
64	 금호산업 	 스팀 	 F03 	 0004 					 PI 	3218	관제점	F030004-PI3218	 PID-VUP-306 	 25A 	 S 	3232	 A1 	 H 	금호산업	스팀		 aaa 			64
65	 금호산업 	 스팀 	 F03 	 0004 					 PT 	3218	설비	F030004-PT3218	 PID-VUP-306 	 25A 	 S 	3232	 A1 	 H 	금호산업	스팀		 aaa 			65
66	 제일금속 	 압공 	 F03 	 0005 					 XV 	3112	관제점	F030005-XV3112	 PID-VUP-308 	 20A 	 AIR 	3145	 A2 	 N 	제일금속	압공		 aaa 			66
67	 제일금속 	 압공 	 F03 	 0005 					 HS 	3112	설비	F030005-HS3112	 PID-VUP-308 	 20A 	 AIR 	3145	 A2 	 N 	제일금속	압공		 aaa 			67
68	 제일금속 	 압공 	 F03 	 0005 					 FI 	3112	관제점	F030005-FI3112	 PID-VUP-308 	 20A 	 AIR 	3145	 A2 	 N 	제일금속	압공		 aaa 			68
69	 제일금속 	 압공 	 F03 	 0005 					 FI 	3112	관제점	F030005-FI3112	 PID-VUP-308 	 20A 	 AIR 	3145	 A2 	 N 	제일금속	압공		 aaa 			69
70	 제일금속 	 압공 	 F03 	 0005 					 FT 	3112	설비	F030005-FT3112	 PID-VUP-308 	 20A 	 AIR 	3145	 A2 	 N 	제일금속	압공		 aaa 			70
71	 제일금속 	 압공 	 F03 	 0005 					 PI 	3112	관제점	F030005-PI3112	 PID-VUP-308 	 20A 	 AIR 	3145	 A2 	 N 	제일금속	압공		 aaa 			71
72	 제일금속 	 압공 	 F03 	 0005 					 PI 	3112	관제점	F030005-PI3112	 PID-VUP-308 	 20A 	 AIR 	3145	 A2 	 N 	제일금속	압공		 aaa 			72
73	 제일금속 	 압공 	 F03 	 0005 					 PT 	3112	설비	F030005-PT3112	 PID-VUP-308 	 20A 	 AIR 	3145	 A2 	 N 	제일금속	압공		 aaa 			73
74	 제일금속 	 스팀 	 F03 	 0005 					 XV 	3219	관제점	F030005-XV3219	 PID-VUP-306 	 25A 	 S 	3233	 A1 	 H 	제일금속	스팀		 aaa 			74
75	 제일금속 	 스팀 	 F03 	 0005 					 HS 	3219	설비	F030005-HS3219	 PID-VUP-306 	 25A 	 S 	3233	 A1 	 H 	제일금속	스팀		 aaa 			75
76	 제일금속 	 스팀 	 F03 	 0005 					 FT 	3219	설비	F030005-FT3219	 PID-VUP-306 	 25A 	 S 	3233	 A1 	 H 	제일금속	스팀		 aaa 			76
77	 제일금속 	 스팀 	 F03 	 0005 					 FI 	3219	관제점	F030005-FI3219	 PID-VUP-306 	 25A 	 S 	3233	 A1 	 H 	제일금속	스팀		 aaa 			77
78	 제일금속 	 스팀 	 F03 	 0005 					 FI 	3219	관제점	F030005-FI3219	 PID-VUP-306 	 25A 	 S 	3233	 A1 	 H 	제일금속	스팀		 aaa 			78
79	 제일금속 	 스팀 	 F03 	 0005 					 PT 	3219	설비	F030005-PT3219	 PID-VUP-306 	 25A 	 S 	3233	 A1 	 H 	제일금속	스팀		 aaa 			79
80	 제일금속 	 스팀 	 F03 	 0005 					 PI 	3219	관제점	F030005-PI3219	 PID-VUP-306 	 25A 	 S 	3233	 A1 	 H 	제일금속	스팀		 aaa 			80
81	 제일금속 	 스팀 	 F03 	 0005 					 PI 	3219	관제점	F030005-PI3219	 PID-VUP-306 	 25A 	 S 	3233	 A1 	 H 	제일금속	스팀		 aaa 			81
82	 광성 	 압공 	 F03 	 0006 					 XV 	3122	관제점	F030006-XV3122	 PID-VUP-308 	 25A 	 AIR 	3155	 A2 	 N 	광성	압공		 aaa 			82
83	 광성 	 압공 	 F03 	 0006 					 HS 	3122	설비	F030006-HS3122	 PID-VUP-308 	 25A 	 AIR 	3155	 A2 	 N 	광성	압공		 aaa 			83
84	 광성 	 압공 	 F03 	 0006 					 FT 	3122	설비	F030006-FT3122	 PID-VUP-308 	 25A 	 AIR 	3155	 A2 	 N 	광성	압공		 aaa 			84
85	 광성 	 압공 	 F03 	 0006 					 FI 	3122	관제점	F030006-FI3122	 PID-VUP-308 	 25A 	 AIR 	3155	 A2 	 N 	광성	압공		 aaa 			85
86	 광성 	 압공 	 F03 	 0006 					 FI 	3122	관제점	F030006-FI3122	 PID-VUP-308 	 25A 	 AIR 	3155	 A2 	 N 	광성	압공		 aaa 			86
87	 광성 	 압공 	 F03 	 0006 					 PT 	3122	설비	F030006-PT3122	 PID-VUP-308 	 25A 	 AIR 	3155	 A2 	 N 	광성	압공		 aaa 			87
88	 광성 	 압공 	 F03 	 0006 					 PI 	3122	관제점	F030006-PI3122	 PID-VUP-308 	 25A 	 AIR 	3155	 A2 	 N 	광성	압공		 aaa 			88
89	 광성 	 압공 	 F03 	 0006 					 PI 	3122	관제점	F030006-PI3122	 PID-VUP-308 	 25A 	 AIR 	3155	 A2 	 N 	광성	압공		 aaa 			89
90	 광성 	 스팀 	 F03 	 0006 					 XV 	3209	관제점	F030006-XV3209	 PID-VUP-306 	 25A 	 S 	3221	 A1 	 H 	광성	스팀		 aaa 			90
91	 광성 	 스팀 	 F03 	 0006 					 HS 	3209	설비	F030006-HS3209	 PID-VUP-306 	 25A 	 S 	3221	 A1 	 H 	광성	스팀		 aaa 			91
92	 광성 	 스팀 	 F03 	 0006 					 FI 	3209	관제점	F030006-FI3209	 PID-VUP-306 	 25A 	 S 	3221	 A1 	 H 	광성	스팀		 aaa 			92
93	 광성 	 스팀 	 F03 	 0006 					 FI 	3209	관제점	F030006-FI3209	 PID-VUP-306 	 25A 	 S 	3221	 A1 	 H 	광성	스팀		 aaa 			93
94	 광성 	 스팀 	 F03 	 0006 					 FT 	3209	설비	F030006-FT3209	 PID-VUP-306 	 25A 	 S 	3221	 A1 	 H 	광성	스팀		 aaa 			94
95	 광성 	 스팀 	 F03 	 0006 					 PI 	3209	관제점	F030006-PI3209	 PID-VUP-306 	 25A 	 S 	3221	 A1 	 H 	광성	스팀		 aaa 			95
96	 광성 	 스팀 	 F03 	 0006 					 PI 	3209	관제점	F030006-PI3209	 PID-VUP-306 	 25A 	 S 	3221	 A1 	 H 	광성	스팀		 aaa 			96
