1	 사업장 	 항목 	 공장그룹 	 일련번호 	 형식 	 관제점(채운용) 	 단위 	 표시 	 TAG 명 			 Primary Key 	 PID No 	 Line Size 	 Fluid Code 	Serial Number	 Matarial Spec 	 Insulation 	 관제점 설명 		 관제점 명칭 	 주기 	 Log 	 Event 	1
35	 안양연합사료 	 스팀 	 F04 	 0004 					 TI 	304		F040004-TI304	 PID-VUP-105 	 100A 	 S 	3004	 A1 	 H 	안양연합사료	 스팀 		 aaa 			35
36	 안양연합사료 	 스팀 	 F04 	 0004 					 PG 	304		F040004-PG304	 PID-VUP-105 	 100A 	 S 	3004	 A1 	 H 	안양연합사료	 스팀 		 aaa 			36
37	 안양연합사료 	 스팀 	 F04 	 0004 					 PT 	304		F040004-PT304	 PID-VUP-105 	 100A 	 S 	3004	 A1 	 H 	안양연합사료	 스팀 		 aaa 			37
38	 안양연합사료 	 스팀 	 F04 	 0004 					 PI 	304		F040004-PI304	 PID-VUP-105 	 100A 	 S 	3004	 A1 	 H 	안양연합사료	 스팀 		 aaa 			38
39	 안양연합사료 	 스팀 	 F04 	 0004 					 PCV 	304		F040004-PCV304	 PID-VUP-105 	 100A 	 S 	3004	 A1 	 H 	안양연합사료	 스팀 		 aaa 			39
40	 조흥 	 스팀 	 F04 	 0005 					 FT 	305		F040005-FT305	 PID-VUP-105 	 150A 	 S 	3005	 A1 	 H 	조흥	 스팀 		 aaa 			40
41	 조흥 	 스팀 	 F04 	 0005 					 FI 	305		F040005-FI305	 PID-VUP-105 	 150A 	 S 	3005	 A1 	 H 	조흥	 스팀 		 aaa 			41
42	 조흥 	 스팀 	 F04 	 0005 					 FQI 	305		F040005-FQI305	 PID-VUP-105 	 150A 	 S 	3005	 A1 	 H 	조흥	 스팀 		 aaa 			42
43	 조흥 	 스팀 	 F04 	 0005 					 TG 	305		F040005-TG305	 PID-VUP-105 	 150A 	 S 	3005	 A1 	 H 	조흥	 스팀 		 aaa 			43
44	 조흥 	 스팀 	 F04 	 0005 					 TT 	305		F040005-TT305	 PID-VUP-105 	 150A 	 S 	3005	 A1 	 H 	조흥	 스팀 		 aaa 			44
45	 조흥 	 스팀 	 F04 	 0005 					 TI 	305		F040005-TI305	 PID-VUP-105 	 150A 	 S 	3005	 A1 	 H 	조흥	 스팀 		 aaa 			45
46	 조흥 	 스팀 	 F04 	 0005 					 PG 	305		F040005-PG305	 PID-VUP-105 	 150A 	 S 	3005	 A1 	 H 	조흥	 스팀 		 aaa 			46
47	 조흥 	 스팀 	 F04 	 0005 					 PT 	305		F040005-PT305	 PID-VUP-105 	 150A 	 S 	3005	 A1 	 H 	조흥	 스팀 		 aaa 			47
48	 조흥 	 스팀 	 F04 	 0005 					 PI 	305		F040005-PI305	 PID-VUP-105 	 150A 	 S 	3005	 A1 	 H 	조흥	 스팀 		 aaa 			48
49	 조흥 	 스팀 	 F04 	 0005 					 PCV 	305		F040005-PCV305	 PID-VUP-105 	 150A 	 S 	3005	 A1 	 H 	조흥	 스팀 		 aaa 			49
